Day_1;Day_2;Day_3;Day_4;Day_5;Day_6;Day_7;Target
21125;21125;21115;21115;21115;21115;21115;1
21125;21115;21115;21115;21115;21115;21145;0
21115;21115;21115;21115;21115;21145;21115;0
21115;21115;21115;21115;21145;21115;21110;0
21115;21115;21115;21145;21115;21110;21110;1
21115;21115;21145;21115;21110;21110;25730;0
21115;21145;21115;21110;21110;25730;21110;0
21145;21115;21110;21110;25730;21110;21110;1
21115;21110;21110;25730;21110;21110;21115;0
21110;21110;25730;21110;21110;21115;21115;0
21110;25730;21110;21110;21115;21115;21110;1
25730;21110;21110;21115;21115;21110;25730;0
21110;21110;21115;21115;21110;25730;21110;0
21110;21115;21115;21110;25730;21110;21110;0
21115;21115;21110;25730;21110;21110;21110;0
21115;21110;25730;21110;21110;21110;21110;0
21110;25730;21110;21110;21110;21110;21105;0
25730;21110;21110;21110;21110;21105;21100;1
21110;21110;21110;21110;21105;21100;25730;0
21110;21110;21110;21105;21100;25730;25730;0
21110;21110;21105;21100;25730;25730;21095;1
21110;21105;21100;25730;25730;21095;21105;0
21105;21100;25730;25730;21095;21105;21105;0
21100;25730;25730;21095;21105;21105;21105;0
25730;25730;21095;21105;21105;21105;21105;0
25730;21095;21105;21105;21105;21105;21105;0
21095;21105;21105;21105;21105;21105;21105;0
21105;21105;21105;21105;21105;21105;21105;0
21105;21105;21105;21105;21105;21105;21105;0
21105;21105;21105;21105;21105;21105;21105;1
21105;21105;21105;21105;21105;21105;21130;0
21105;21105;21105;21105;21105;21130;21125;1
21105;21105;21105;21105;21130;21125;21155;1
21105;21105;21105;21130;21125;21155;25730;0
21105;21105;21130;21125;21155;25730;21130;0
21105;21130;21125;21155;25730;21130;21130;0
21130;21125;21155;25730;21130;21130;21130;0
21125;21155;25730;21130;21130;21130;21130;0
21155;25730;21130;21130;21130;21130;21120;0
25730;21130;21130;21130;21130;21120;21120;0
21130;21130;21130;21130;21120;21120;21120;0
21130;21130;21130;21120;21120;21120;21120;0
21130;21130;21120;21120;21120;21120;21120;0
21130;21120;21120;21120;21120;21120;21120;1
21120;21120;21120;21120;21120;21120;25730;0
21120;21120;21120;21120;21120;25730;21120;1
21120;21120;21120;21120;25730;21120;25730;0
21120;21120;21120;25730;21120;25730;21125;0
21120;21120;25730;21120;25730;21125;21125;0
21120;25730;21120;25730;21125;21125;21125;0
25730;21120;25730;21125;21125;21125;21120;0
21120;25730;21125;21125;21125;21120;21120;0
25730;21125;21125;21125;21120;21120;21120;0
21125;21125;21125;21120;21120;21120;21120;1
21125;21125;21120;21120;21120;21120;25730;0
21125;21120;21120;21120;21120;25730;21120;0
21120;21120;21120;21120;25730;21120;21120;0
21120;21120;21120;25730;21120;21120;21120;1
21120;21120;25730;21120;21120;21120;21145;0
